trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00826079	0.00892
0.0017	-0.0346	0.0184	-0.00029496064358704166	-2.4434609527920616e-05	-2.96705972839036e-05	1.02126217	40.87898254	1.00014056	0.07215329251994329	0.00652003	0.00204
0.0014	0.0196	0.0163	-0.0002513274122871834	-6.632251157578452e-05	-6.108652381980153e-05	0.93200105	37.30604935	0.94934132	0.062446852994181005	0.00557184	0.00057
0.0014	0.0531	0.0143	-0.0002548180707911721	-5.235987755982988e-06	2.094395102393195e-05	0.92067462	36.85267639	0.94601323	0.04283038285837618	0.00560874	0.00042
-0.0004	-0.0479	0.0214	-0.00015533430342749534	-4.71238898038469e-05	9.42477796076938e-05	1.02190268	40.90462494	0.99751968	0.1206337748997651	0.005876	0.00053
0.0054	0.0383	0.0305	-0.00010995574287564276	9.250245035569947e-05	8.726646259971648e-05	1.00860095	40.37218475	0.98625324	0.1106993108859688	0.00524068	0.00048
0.01	0.1054	0.0168	-0.0003577924966588376	0.000322885911618951	6.108652381980153e-05	1.06178308	42.50095367	1.02184867	0.11062000769131806	0.00715464	0.00124
0.0121	-0.0884	0.0291	-0.0003647738136668148	0.00029321531433504735	0.00016406094968746698	1.3951472	55.84481812	1.20008938	0.21518131700797727	0.00689888	0.00144
0.0099	-0.127	0.0432	-0.00021642082724729686	0.00019896753472735358	0.00020420352248333657	1.02024543	40.83828735	0.99957309	0.06903716694115407	0.00734913	0.00152
0.0073	-0.0418	0.0384	-0.00016231562043547262	0.00019896753472735358	0.00014311699866353502	0.97484493	39.02099991	0.96976835	0.09835958653158129	0.00525832	0.00056
0.0098	0.0722	0.0344	-0.00013264502315156904	0.0002495820830351891	8.37758040957278e-05	1.08730102	43.52238083	1.03451864	0.12748131700797732	0.0058108	0.00056
0.013	-0.0321	0.0351	-0.00019198621771937622	0.000317649923862968	0.00012042771838760874	1.09635079	43.88462448	1.03180143	0.11640304748437331	0.0056138	0.00064
0.0125	-0.0295	0.0392	-0.00012740903539558605	0.00023561944901923448	9.075712110370512e-05	0.90712607	36.31035614	0.93460163	0.016013912722571362	0.00570244	0.0005
0.0121	0.0201	0.033	-0.00013962634015954637	0.00021642082724729686	8.726646259971648e-05	0.90051162	36.04559326	0.92999327	0.057945329251994325	0.00515562	0.00044
0.0133	0.0785	0.0332	-7.67944870877505e-05	0.0003159045946109737	5.061454830783555e-05	0.92374992	36.97577286	0.94450587	0.06974837673636768	0.0059678	0.00044
0.0175	0.0019	0.0321	-0.0002181661564992912	0.00040666171571467877	5.235987755982989e-05	0.98762792	39.5326767	0.97367302	0.093593705988362	0.00542378	0.00048
0.0173	-0.0109	0.0314	-0.0003001966313430247	0.00041713369122664475	1.3962634015954635e-05	0.88922095	35.59365082	0.92897817	0.020244984694978735	0.00521392	0.0005
0.0141	0.0214	0.0253	-0.0003525565089028545	0.00037524578917878077	3.316125578789226e-05	0.9336291	37.37121582	0.94779143	0.04727232006898157	0.00506687	0.00037
0.0172	0.0894	0.0196	-0.0005375614096142535	0.0004904375198104066	6.981317007977319e-05	0.96652097	38.68780899	0.96929834	0.09364242728174528	0.00574201	0.0006
0.0169	-0.0651	0.0187	-0.00045553093477052	0.0004537856055185257	9.075712110370512e-05	1.19560838	47.85770035	1.08695111	0.1626813170079773	0.00590724	0.00064
0.0133	-0.091	0.0294	-0.0004625122517784973	0.0003787364476827695	5.585053606381854e-05	0.91854817	36.76755905	0.95044576	0.046046852994180994	0.00634658	0.00094
0.0145	0.0296	0.0243	-0.0004625122517784973	0.000445058959258554	5.4105206811824215e-05	1.07029927	42.84183502	1.02008717	0.1303033920413889	0.00507653	0.00041
0.0187	-0.0139	0.0111	-0.0004380776422505767	0.000593411945678072	7.330382858376184e-05	1.00346863	40.16674423	0.98442117	0.07049931088596881	0.00578356	0.00067
0.016	0.0041	0.0112	-0.0002722713633111154	0.0005270894341022875	5.585053606381854e-05	0.95843214	38.36402893	0.95946714	0.033279104151759456	0.00586832	0.00084
0.018	0.1205	0.0055	-0.0003769911184307752	0.0006527531402458793	-2.268928027592628e-05	1.12096	44.8696785	1.05304253	0.1395461638801498	0.00688219	0.00104
0.0171	-0.0198	0.0034	-0.0002705260340591211	0.0005358160803622592	-2.268928027592628e-05	1.13789153	45.54741287	1.0529618	0.1544701072127637	0.00603622	0.00083
0.0144	0.0518	0.0037	-0.000307177948351002	0.0004921828490624009	-3.839724354387525e-05	0.94295961	37.74469757	0.94750585	0.07939965544298441	0.00593585	0.00068
0.0183	0.1291	-0.0021	-0.000450294947014537	0.0006213372137099814	-1.3962634015954635e-05	1.04660106	41.89324951	1.01326658	0.10183529864195177	0.00795078	0.00152
0.0192	-0.0448	0.0059	-0.0005305800926062762	0.0006230825429619757	-6.9813170079773176e-06	1.34532893	53.85069656	1.16543478	0.18725058959258556	0.00680268	0.00135
0.0159	-0.0381	0.0137	-0.0004886921905584122	0.0005480333851262194	-4.363323129985824e-05	1.03319013	41.35643387	0.9927477	0.02547944870877505	0.00585818	0.00064
0.0171	0.0656	0.012	-0.0005340707511102648	0.0006510078109938849	-5.4105206811824215e-05	1.11188424	44.50639725	1.03715501	0.1145412480965742	0.00546503	0.00039
0.0158	-0.0588	0.0088	-0.00034906585039886593	0.000598647933434055	6.9813170079773176e-06	1.14498401	45.83131027	1.05499158	0.14382256510455155	0.0063166	0.00057
0.0147	0.0495	0.0163	-0.00043458698374658803	0.0005811946409141118	-0.0	1.10199273	44.11045837	1.03325338	0.12239778714378215	0.00533831	0.00032
0.0171	0.0521	0.0068	-0.00035430183815484887	0.0006213372137099814	2.792526803190927e-05	1.00898564	40.38758087	0.98852009	0.021917649320975896	0.00583005	0.0007
0.0254	-0.0201	-0.002	-5.93411945678072e-05	0.0005532693728822024	0.00022340214425527416	1.16829479	46.76439285	1.07463122	0.11722526803190927	0.00753999	0.0024
0.0293	0.1105	0.0109	-0.0003630284844148205	0.000582939970166106	0.0002251474735072685	1.27649236	51.09531403	1.13604707	0.16415516081914555	0.00606632	0.00079
0.0221	0.1356	0.0107	-0.000450294947014537	0.000619591884457987	0.00015533430342749534	1.08816564	43.55699158	1.01975656	0.04218657734856853	0.00637043	0.00085
0.0211	-0.0296	0.0138	-0.0004363323129985824	0.0005270894341022875	0.00016406094968746698	1.27075362	50.8656044	1.12887943	0.17505958653158127	0.00551414	0.00054
