trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00972915	0.02249
-0.0066	-0.0629	-0.0075	-0.000322885911618951	-0.0012845623294678264	-9.773843811168246e-05	1.47843742	61.83911896	1.304251	0.16225933395992298	0.00855321	0.0167
0.0101	-0.0473	0.0472	-0.0005916666164260777	-0.0002652900463031381	0.0005515240436302081	1.19520772	49.99237061	1.12101991	0.18386577348568528	0.00535291	0.00252
0.0082	-0.0426	0.0345	-0.00047123889803846896	6.632251157578452e-05	0.0005253441048502931	1.0720576	44.84133148	1.00850759	0.04321101075232231	0.0054571	0.00207
0.0106	-0.0375	0.0471	-0.0007033676885537148	0.0003211405823669566	0.0005497787143782138	1.04222	43.59330368	1.00078341	0.045669073541716926	0.00473052	0.00111
0.0085	-0.105	0.0504	-0.000486946861306418	0.00039095375244672985	0.0006824237375297829	1.09410071	45.76333237	1.02776443	0.09384395102393196	0.00526202	0.00139
0.0103	-0.0332	0.0734	-0.0006283185307179585	0.0005113814708343385	0.0007330382858376184	1.09451532	45.7806778	1.03311405	0.11222069680534924	0.00479972	0.00069
0.0102	-0.117	0.0538	-0.0006056292504420323	0.0005061454830783556	0.0007068583470577034	1.10706377	46.30554199	1.0349454	0.10620526034059125	0.005283	0.0015
0.0112	-0.0179	0.076	-0.0007731808586334879	0.00048345620280242926	0.000710349005561692	1.1475029	47.99700546	1.05622955	0.13198657734856853	0.00476217	0.00071
0.0158	-0.0731	0.0511	-0.0008028514559173916	0.0004939281783143952	0.0007801621756414653	1.06220233	44.42910767	1.00452716	0.09019778714378214	0.00427443	0.00062
0.0194	-0.0103	0.0672	-0.0008290313946973065	0.0004677482395344803	0.0008848819307611251	1.08334029	45.31325531	1.01554462	0.09035398163397448	0.0045653	0.00054
0.0222	-0.052	0.0538	-0.0010297442586766543	0.0005235987755982988	0.0009180431865490173	1.06704581	44.63169861	1.00221268	0.07238623279155292	0.00409168	0.00053
0.0218	-0.0236	0.0808	-0.0010524335389525807	0.0005462880558742252	0.0009965830028887623	1.06403911	44.50593567	1.00237381	0.06199591884457988	0.00429642	0.00056
0.0237	-0.087	0.0499	-0.0010803588069844899	0.0005445427266222308	0.0010035643198967395	1.09798157	45.92565918	1.01992462	0.09803259571459405	0.00449538	0.00054
0.0261	-0.0209	0.0884	-0.0011693705988362008	0.0007347836150896127	0.0010960667702524388	1.12876678	47.21332169	1.03610047	0.1255877565337396	0.00459111	0.00055
0.0251	-0.0981	0.0546	-0.0013439035240356337	0.0007749261878854823	0.0010506882097005862	1.14491999	47.88896942	1.04303795	0.12500270292735777	0.00440806	0.00053
0.0257	-0.0489	0.0734	-0.0013945180723434693	0.0007923794804054256	0.0011257373675363424	1.07042456	44.7730217	1.00352513	0.07575584993317677	0.00390816	0.00048
0.0241	-0.0681	0.0561	-0.0013718287920675431	0.0007679448708775049	0.001043706892692609	1.05704141	44.21324158	0.9944758	0.04455771823237902	0.00409102	0.00057
0.0299	-0.0479	0.0795	-0.0014590952546672592	0.0008883725892651138	0.0011850785621041497	1.06951714	44.73506927	1.00044424	0.06685329251994329	0.00427079	0.00042
0.029	-0.0215	0.0649	-0.001500983156715123	0.0009040805525330626	0.0012950343049797925	1.07437217	44.93814087	1.00362416	0.05027758040957278	0.00397551	0.00043
0.0285	-0.0695	0.0555	-0.0014259339988793671	0.000853466004225227	0.0012723450247038664	1.05988359	44.3321228	0.98738071	0.06531764932097589	0.00406325	0.00038
0.0297	0.0133	0.0777	-0.001520181778487061	0.0008482300164692441	0.0013124875974997359	1.10936451	46.40177917	1.02112593	0.11318131700797734	0.00420231	0.00047
0.0271	-0.074	0.0561	-0.0014433872913993105	0.0008482300164692441	0.0012095131716320703	1.12934434	47.23748016	1.03287051	0.12048844564777082	0.00402361	0.00043
0.0278	0.0279	0.0857	-0.0015446163880149814	0.0007679448708775049	0.00124965574442794	1.15944231	48.49639893	1.0630522	0.14328284075016398	0.00444561	0.00063
0.0233	-0.1137	0.0464	-0.0014049900478554352	0.0006928957130417488	0.0011117747335203881	1.27077127	53.15299606	1.13789862	0.20302782544514267	0.00473237	0.00063
0.0225	-0.0209	0.0728	-0.001500983156715123	0.0006649704450098395	0.0010384709049366262	1.14738274	47.99197769	1.05212421	0.12986111027376795	0.00420827	0.00046
0.0236	-0.0835	0.0396	-0.0013526301702956054	0.0006213372137099814	0.0011536626355682519	1.11171305	46.50001144	1.0300031	0.11225889741755007	0.00409609	0.00053
