trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00941491	0.01615
0.0001	0.0151	0.0006	0.0002478367537831948	-0.0002007128639793479	-4.0142572795869576e-05	1.13531351	49.96813583	1.06824609	0.04023460952792061	0.00862169	0.0046
-0.0024	-0.0475	-0.0218	0.0008639379797371932	-0.000148352986419518	-9.42477796076938e-05	1.09420288	48.15874863	1.03563304	0.12362831551628264	0.0100362	0.00428
-0.0168	-0.051	0.0058	0.000635299847725936	-0.0003525565089028545	-0.0005218534463463045	1.07408297	47.27321625	1.041398	0.08852236606166022	0.00926262	0.00329
-0.0169	0.0978	0.066	0.00020943951023931956	-0.00038048177693476387	-0.0006789330790257941	1.3391428	58.93919754	1.17242549	0.2396432619099008	0.0107294	0.00805
-0.0237	-0.1049	0.0712	-0.0002495820830351891	-0.00048345620280242926	-0.0008604473212332044	1.4428432	63.5033226	1.21859395	0.25187551306747924	0.00896901	0.00307
-0.0327	-0.2814	0.0103	-0.000577703982410123	-0.0004625122517784973	-0.0008936085770210966	1.46896017	64.65280151	1.22966119	0.2655113553093379	0.0154485	0.02074
-0.0317	-0.1147	0.0279	-0.0008656833089891874	-0.0003001966313430247	-0.0009564404300928925	1.33655167	58.82515717	1.15193868	0.21095634000431665	0.00793749	0.00106
-0.0387	-0.062	0.0145	-0.0008988445647770796	-0.0003193952531149623	-0.0010803588069844899	1.00486708	44.22684479	0.96430935	0.08191391272257134	0.00726014	0.00072
-0.0449	0.059	0.0301	-0.0009808750396208131	-0.00030194196059501896	-0.0012007865253720988	1.09692168	48.27840805	1.01838967	0.15379557428756427	0.00630677	0.00062
-0.044	0.0519	0.0065	-0.0010332349171806431	-0.0003316125578789226	-0.0011379546723003027	0.92374933	40.6566391	0.93809607	0.038843116395776485	0.00653434	0.00067
-0.04	0.169	0.006	-0.0011641346110802177	-0.000322885911618951	-0.0011187560505283654	1.07361197	47.25248718	1.01657548	0.1295412480965742	0.00826573	0.00248
-0.0375	0.072	0.0061	-0.0013020156219877698	-0.00033684854563490564	-0.001064650843716541	1.03426957	45.52092361	0.98324929	0.10989744258676656	0.00739539	0.0008
-0.0314	0.0867	0.0136	-0.001282817000215832	-0.0002443460952792061	-0.0009424777960769379	0.96968758	42.67850113	0.94766093	0.039993705988362015	0.00772649	0.00135
-0.0263	-0.0337	0.0399	-0.0011379546723003027	-0.00019024088846738194	-0.0008726646259971648	1.12004936	49.29631805	1.03238483	0.16523903524035632	0.00843304	0.00099
-0.0349	0.0278	0.0572	-0.001322959573011702	-0.0003001966313430247	-0.001117010721276371	0.99802518	43.92571259	0.97055422	0.11436533694331243	0.00750905	0.00076
-0.0384	-0.1024	0.0404	-0.001186823891356144	-0.0004049163864626844	-0.001192059879112127	1.09811413	48.33089066	1.03312532	0.16629522973054872	0.00841326	0.00102
-0.0271	-0.0951	0.0177	-0.0013526301702956054	-0.0008848819307611251	-0.0009145525280450286	0.93327999	41.07610703	0.94409546	0.08746395871525	0.00750107	0.00061
-0.0283	0.0006	0.0158	-0.0012007865253720988	-0.0006178465552059926	-0.0009808750396208131	1.07339549	47.24295807	0.99856022	0.1230600766027212	0.00573081	0.00044
-0.0206	-0.0562	0.0088	-0.0012618730491919003	-0.00032463124087094524	-0.0008220500776893293	1.0359664	45.59560394	0.98846842	0.09715634000431664	0.00644958	0.0004
