trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0313288	0.0064
-0.0002	0.0705	0.0525	-0.0001308996938995747	0.00016406094968746698	-4.886921905584123e-05	1.05571449	50.03507233	0.96906917	0.1403914931321441	0.0307838	0.00552
0.0042	0.101	0.055	-3.141592653589793e-05	0.0003106686068549907	0.00011170107212763708	0.96692604	45.82698822	0.93885725	0.057733085785733954	0.0334306	0.00821
0.0057	-0.081	0.032	9.599310885968811e-05	0.00020420352248333657	0.0002181661564992912	1.20108199	56.92469406	1.06160807	0.22351696020694467	0.027742	0.00367
0.0051	-0.0388	0.0185	7.155849933176751e-05	0.00010471975511965978	0.00017627825445142725	0.86519939	41.00570297	0.88151284	0.06459031394697308	0.0288255	0.00388
0.0047	0.0313	0.0399	2.792526803190927e-05	0.0002199114857512855	0.00016406094968746698	0.94950545	45.00134659	0.91544671	0.1004521133347722	0.0301059	0.00481
0.0051	0.0441	0.0312	4.18879020478639e-05	0.0003351032163829112	0.0001884955592153876	0.93599749	44.36114502	0.92176368	0.029579448708775047	0.0315844	0.0064
0.0034	0.0093	0.0846	6.981317007977319e-05	0.00037350045992678646	0.00015707963267948963	0.97210371	46.07238007	0.94262149	0.09478692190558413	0.0267947	0.00364
0.004	0.0418	0.0622	0.00012042771838760874	0.0004049163864626844	0.00022340214425527416	0.98998314	46.91976929	0.94682689	0.0629176493209759	0.0296045	0.00556
0.0051	-0.1032	0.0289	5.93411945678072e-05	0.0002897246558310587	0.0002181661564992912	1.08847773	51.58787155	1.00386463	0.18847571211037048	0.0267941	0.00311
0.0039	0.042	0.0812	9.599310885968811e-05	0.0003961897402027128	0.00019896753472735358	1.1266942	53.39912415	1.00607887	0.2068157810217736	0.0279331	0.00403
0.0051	0.0158	0.0412	0.000312413936106985	0.0003769911184307752	0.0002600540585471551	0.97391796	46.15836716	0.93724822	0.0822352986419518	0.0292872	0.00419
0.0051	-0.0496	0.0221	0.0004747295565424576	0.0004537856055185257	0.00032463124087094524	0.93894166	44.50068283	0.92600621	0.09968436449235064	0.0285263	0.0036
0.0075	0.0782	0.0431	0.00037524578917878077	0.0005794493116621174	0.0003665191429188092	1.04366899	49.46418381	0.96981147	0.1645517687777566	0.0315793	0.00587
0.0048	0.0298	0.0495	0.00028797932657906436	0.0003944444109507184	0.00028797932657906436	0.91207612	43.22740173	0.90449475	0.07504055898254303	0.0287369	0.00397
0.0024	0.1852	0.0926	0.0005113814708343385	0.0006178465552059926	0.000158824961931484	1.18517101	56.17060089	1.06513314	0.22969793265790645	0.0355639	0.01183
0.0032	-0.0084	0.0683	0.0007155849933176752	0.0006283185307179585	0.00017104226669544429	1.29191315	61.22959518	1.11128424	0.23004464013796316	0.0279656	0.00474
0.0008	-0.2419	0.1225	0.0007766715171374765	0.0004380776422505767	0.00013264502315156904	1.42209518	67.39950562	1.21409653	0.30458623279155295	0.0194934	0.00175
-0.0057	-0.1466	0.2453	0.0008552113334772215	0.0004625122517784973	2.792526803190927e-05	1.16983843	55.44392395	1.04702038	0.23498470904936627	0.0137836	0.00094
-0.0112	-0.0913	0.3207	0.0014224433403753785	0.000445058959258554	-6.981317007977319e-05	1.04997766	49.76317978	0.97596304	0.17032118687648914	0.0114321	0.00096
-0.012	-0.1563	0.2745	0.0013316862192716734	0.00035604716740684323	-0.0001605702911834783	0.95259076	45.14757538	0.91661009	0.125526301702956	0.0113147	0.00049
-0.0155	0.0517	0.1812	0.0012583823906879114	0.00042236967898262774	-0.00023387411976724014	1.38738811	65.75458527	1.170553	0.31544650843716543	0.021507	0.0016
-0.0098	0.0041	0.1741	0.0015358897417550098	0.00048171087355043494	-0.00012217304763960306	0.92537034	43.85747528	0.92261634	0.08282748088812712	0.0199829	0.00132
-0.0055	-0.1888	0.165	0.0017418385934903407	0.0003822271061867582	-0.00013264502315156904	1.23179436	58.38029099	1.06769966	0.22209522973054863	0.0150402	0.00059
-0.0039	-0.1278	0.1597	0.001656317460142619	0.000307177948351002	-0.0001064650843716541	0.91718847	43.46969986	0.90839544	0.07723751149816965	0.0165169	0.0008
-0.0116	-0.0205	0.1695	0.0016336281798666925	2.268928027592628e-05	-0.00029496064358704166	1.06729138	50.58375168	0.99379561	0.1495836753783195	0.0191004	0.00175
